match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no,player_match_id,squad_no,player_name,position_group,minutes_played_est,gk_mapping_note
52,Bosnia and Herzegovina,60.0,13.0,32,"[""13"", ""38"", ""3"", ""4""]",9.0,67.0,9.0,2.0,1.0,0.0,1.0,3.0,4.0,34,M052_bosniaandherzegovina_01,1,Nikola VASILJ,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
52,Qatar,44.0,16.0,33,"[""16"", ""25"", ""0"", ""2""]",16.0,60.0,16.0,6.0,0.0,0.0,6.0,3.0,7.0,35,M052_qatar_01,1,MAHMOUD ABUNADA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
53,Czechia,53.0,14.0,32,"[""14"", ""32"", ""0"", ""6""]",12.0,40.0,12.0,3.0,1.0,0.0,2.0,3.0,6.0,34,M053_czechia_01,1,Matej KOVAR,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
53,Mexico,49.0,17.0,33,"[""17"", ""34"", ""0"", ""1""]",13.0,100.0,13.0,0.0,0.0,1.0,0.0,1.0,11.0,35,M053_mexico_01,1,Raul RANGEL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
54,South Africa,48.0,26.0,32,"[""26"", ""35"", ""2"", ""2""]",8.0,100.0,8.0,2.0,1.0,1.0,0.0,0.0,6.0,34,M054_southafrica_01,1,Ronwen WILLIAMS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
54,Korea Republic,55.0,7.0,33,"[""7"", ""36"", ""0"", ""4""]",13.0,75.0,13.0,3.0,2.0,0.0,1.0,3.0,7.0,35,M054_korearepublic_01,1,KIM Seunggyu,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
55,Curaçao,25.0,9.0,32,"[""9"", ""17"", ""0"", ""1""]",7.0,33.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,34,M055_curacao_01,1,Eloy ROOM,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
55,Côte d'Ivoire,46.0,15.0,33,"[""15"", ""27"", ""1"", ""1""]",12.0,100.0,12.0,3.0,0.0,0.0,3.0,1.0,8.0,35,M055_cotedivoire_01,1,Yahia FOFANA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
56,Ecuador,37.0,15.0,32,"[""15"", ""20"", ""2"", ""1""]",11.0,67.0,11.0,2.0,2.0,0.0,0.0,2.0,7.0,34,M056_ecuador_01,1,Hernan GALINDEZ,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
56,Germany,60.0,14.0,33,"[""14"", ""34"", ""0"", ""9""]",7.0,33.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,35,M056_germany_01,1,Manuel NEUER,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
57,Japan,43.0,15.0,32,"[""15"", ""23"", ""2"", ""1""]",11.0,80.0,11.0,5.0,1.0,0.0,4.0,1.0,5.0,34,M057_japan_01,1,Zion SUZUKI,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
57,Sweden,58.0,25.0,33,"[""25"", ""35"", ""0"", ""8""]",8.0,67.0,8.0,2.0,1.0,0.0,1.0,2.0,4.0,35,M057_sweden_01,1,Jacob WIDELL ZETTERSTROM,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
58,Tunisia,54.0,17.0,33,"[""17"", ""20"", ""4"", ""1""]",21.0,67.0,21.0,4.0,2.0,0.0,2.0,1.0,16.0,35,M058_tunisia_16,16,Aymen DAHMEN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
58,Netherlands,35.0,0.0,34,"[""0"", ""18"", ""0"", ""5""]",10.0,75.0,10.0,3.0,2.0,0.0,1.0,1.0,6.0,36,M058_netherlands_01,1,Bart VERBRUGGEN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
59,Türkiye,64.0,17.0,33,"[""17"", ""41"", ""0"", ""2""]",18.0,71.0,18.0,5.0,1.0,0.0,4.0,3.0,10.0,35,M059_turkiye_23,23,Ugurcan CAKIR,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
59,USA,48.0,11.0,34,"[""11"", ""25"", ""0"", ""8""]",9.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,6.0,36,M059_usa_01,1,Matt TURNER,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
60,Paraguay,32.0,9.0,32,"[""9"", ""16"", ""0"", ""2""]",12.0,100.0,12.0,5.0,3.0,1.0,2.0,1.0,5.0,34,M060_paraguay_12,12,Orlando GILL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
60,Australia,35.0,9.0,33,"[""9"", ""23"", ""0"", ""4""]",7.0,100.0,7.0,2.0,1.0,1.0,0.0,0.0,5.0,35,M060_australia_18,18,Patrick BEACH,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
61,Norway,53.0,17.0,33,"[""17"", ""25"", ""0"", ""5""]",18.0,56.0,18.0,5.0,2.0,0.0,3.0,6.0,7.0,35,M061_norway_13,13,Egil SELVIK,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
61,France,36.0,7.0,34,"[""7"", ""21"", ""0"", ""4""]",10.0,75.0,10.0,3.0,1.0,0.0,2.0,1.0,6.0,36,M061_france_16,16,Mike MAIGNAN,GK,76,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
62,Senegal,36.0,5.0,33,"[""5"", ""20"", ""2"", ""3""]",6.0,100.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,35,M062_senegal_23,23,Mory DIAW,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
62,Iraq,74.0,24.0,34,"[""24"", ""34"", ""2"", ""3""]",29.0,64.0,29.0,7.0,3.0,0.0,4.0,6.0,16.0,36,M062_iraq_22,22,AHMED BASIL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
63,Egypt,43.0,4.0,32,"[""4"", ""26"", ""0"", ""1""]",13.0,67.0,13.0,2.0,0.0,0.0,2.0,2.0,9.0,34,M063_egypt_23,23,MOSTAFA SHOUBIR,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
63,IR Iran,54.0,19.0,33,"[""19"", ""27"", ""3"", ""3""]",15.0,67.0,15.0,3.0,3.0,0.0,0.0,1.0,11.0,35,M063_iriran_01,1,Alireza BEIRANVAND,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
64,New Zealand,72.0,11.0,34,"[""11"", ""26"", ""1"", ""5""]",35.0,50.0,35.0,4.0,0.0,1.0,4.0,9.0,21.0,36,M064_newzealand_01,1,Max CROCOMBE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
64,Belgium,48.0,15.0,35,"[""15"", ""30"", ""0"", ""7""]",6.0,50.0,6.0,1.0,0.0,0.0,1.0,1.0,4.0,37,M064_belgium_01,1,Thibaut COURTOIS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
65,Cabo Verde,51.0,23.0,32,"[""23"", ""33"", ""1"", ""7""]",7.0,100.0,7.0,2.0,1.0,1.0,1.0,0.0,4.0,34,M065_caboverde_01,1,VOZINHA,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
65,Saudi Arabia,44.0,6.0,33,"[""6"", ""23"", ""1"", ""2""]",15.0,100.0,15.0,3.0,1.0,0.0,2.0,1.0,11.0,35,M065_saudiarabia_21,21,MOHAMMED ALOWAIS,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
66,Uruguay,46.0,22.0,32,"[""22"", ""27"", ""2"", ""2""]",7.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,34,M066_uruguay_01,1,Sergio ROCHET,GK,49,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
66,Spain,64.0,13.0,33,"[""13"", ""37"", ""1"", ""12""]",7.0,100.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,35,M066_spain_23,23,Unai SIMON,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
67,Panama,65.0,24.0,32,"[""24"", ""33"", ""0"", ""9""]",17.0,67.0,17.0,5.0,1.0,1.0,4.0,4.0,7.0,34,M067_panama_22,22,Orlando MOSQUERA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
67,England,46.0,12.0,33,"[""12"", ""29"", ""0"", ""1""]",13.0,100.0,13.0,2.0,1.0,0.0,1.0,1.0,10.0,35,M067_england_01,1,Jordan PICKFORD,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
68,Croatia,36.0,8.0,32,"[""8"", ""23"", ""0"", ""4""]",6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,34,M068_croatia_01,1,Dominik LIVAKOVIC,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
68,Ghana,36.0,3.0,33,"[""3"", ""14"", ""1"", ""7""]",8.0,50.0,8.0,2.0,1.0,0.0,1.0,3.0,3.0,35,M068_ghana_16,16,Benjamin ASARE,GK,45,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
69,Algeria,38.0,8.0,32,"[""8"", ""23"", ""0"", ""2""]",10.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,7.0,34,M069_algeria_16,16,Oussama BENBOT,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
69,Austria,36.0,5.0,33,"[""5"", ""24"", ""0"", ""0""]",12.0,40.0,12.0,1.0,1.0,1.0,0.0,5.0,5.0,35,M069_austria_01,1,Alexander SCHLAGER,GK,45,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
70,Jordan,34.0,5.0,32,"[""5"", ""13"", ""1"", ""3""]",13.0,25.0,13.0,1.0,0.0,0.0,1.0,3.0,9.0,34,M070_jordan_01,1,YAZEED ABULAILA,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
70,Argentina,26.0,3.0,33,"[""3"", ""14"", ""1"", ""4""]",5.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,35,M070_argentina_23,23,Emiliano MARTINEZ,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
71,Colombia,53.0,10.0,33,"[""10"", ""37"", ""1"", ""1""]",13.0,100.0,13.0,2.0,1.0,0.0,1.0,3.0,8.0,35,M071_colombia_12,12,Camilo VARGAS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
71,Portugal,54.0,6.0,34,"[""6"", ""19"", ""0"", ""4""]",26.0,100.0,26.0,6.0,2.0,0.0,4.0,1.0,19.0,36,M071_portugal_01,1,DIOGO COSTA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
72,Congo DR,41.0,8.0,33,"[""8"", ""33"", ""1"", ""1""]",4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,35,M072_congodr_01,1,Lionel MPASI,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
72,Uzbekistan,54.0,16.0,34,"[""16"", ""26"", ""2"", ""3""]",19.0,25.0,19.0,1.0,0.0,0.0,1.0,4.0,14.0,36,M072_uzbekistan_12,12,Abduvohid NEMATOV,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
73,South Africa,98.0,16.0,32,"[""16"", ""83"", ""2"", ""1""]",12.0,83.0,12.0,5.0,2.0,0.0,3.0,3.0,4.0,34,M073_southafrica_01,1,Ronwen WILLIAMS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
73,Canada,40.0,8.0,33,"[""8"", ""23"", ""0"", ""8""]",6.0,100.0,6.0,2.0,1.0,0.0,1.0,0.0,4.0,35,M073_canada_16,16,Maxime CREPEAU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
74,Germany,46.0,7.0,33,"[""7"", ""27"", ""0"", ""10""]",7.0,67.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,35,M074_germany_01,1,Manuel NEUER,GK,117,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
75,Netherlands,46.0,19.0,32,"[""19"", ""30"", ""1"", ""2""]",12.0,80.0,12.0,5.0,1.0,0.0,4.0,2.0,5.0,34,M075_netherlands_01,1,Bart VERBRUGGEN,GK,113,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
76,Brazil,31.0,8.0,33,"[""8"", ""20"", ""0"", ""5""]",5.0,50.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,35,M076_brazil_01,1,ALISSON,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
76,Japan,64.0,20.0,34,"[""20"", ""28"", ""1"", ""8""]",19.0,67.0,19.0,6.0,2.0,0.0,4.0,2.0,11.0,36,M076_japan_01,1,Zion SUZUKI,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
77,France,41.0,12.0,33,"[""12"", ""24"", ""0"", ""7""]",7.0,100.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,35,M077_france_16,16,Mike MAIGNAN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
77,Sweden,59.0,18.0,34,"[""18"", ""23"", ""1"", ""6""]",26.0,75.0,26.0,10.0,4.0,0.0,6.0,7.0,9.0,36,M077_sweden_01,1,Jacob WIDELL ZETTERSTROM,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
78,Côte d'Ivoire,27.0,9.0,32,"[""9"", ""13"", ""0"", ""4""]",10.0,33.0,10.0,2.0,2.0,0.0,0.0,4.0,4.0,34,M078_cotedivoire_01,1,Yahia FOFANA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
78,Norway,55.0,18.0,33,"[""18"", ""29"", ""0"", ""5""]",14.0,80.0,14.0,4.0,1.0,1.0,2.0,3.0,7.0,35,M078_norway_01,1,Orjan NYLAND,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
79,Mexico,48.0,21.0,32,"[""21"", ""34"", ""1"", ""3""]",7.0,100.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,34,M079_mexico_01,1,Raul RANGEL,GK,99,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
79,Ecuador,40.0,14.0,33,"[""14"", ""23"", ""1"", ""0""]",15.0,33.0,15.0,1.0,0.0,0.0,1.0,6.0,8.0,35,M079_ecuador_01,1,Hernan GALINDEZ,GK,99,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
80,England,38.0,9.0,32,"[""9"", ""26"", ""0"", ""5""]",7.0,50.0,7.0,2.0,1.0,0.0,1.0,3.0,2.0,34,M080_england_01,1,Jordan PICKFORD,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
80,Congo DR,65.0,14.0,33,"[""14"", ""36"", ""0"", ""4""]",17.0,67.0,17.0,6.0,0.0,0.0,6.0,0.0,11.0,35,M080_congodr_01,1,Lionel MPASI,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
81,USA,34.0,8.0,32,"[""8"", ""12"", ""2"", ""5""]",11.0,100.0,11.0,4.0,2.0,0.0,2.0,2.0,5.0,34,M081_usa_24,24,Matt FREESE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
81,Bosnia and Herzegovina,49.0,10.0,33,"[""10"", ""32"", ""0"", ""3""]",8.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,5.0,35,M081_bosniaandherzegovina_01,1,Nikola VASILJ,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
82,Belgium,65.0,11.0,34,"[""11"", ""34"", ""1"", ""7""]",20.0,60.0,20.0,4.0,4.0,0.0,0.0,3.0,13.0,36,M082_belgium_01,1,Thibaut COURTOIS,GK,109,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
82,Senegal,88.0,35.0,35,"[""35"", ""46"", ""3"", ""8""]",20.0,40.0,20.0,3.0,2.0,1.0,1.0,4.0,12.0,37,M082_senegal_23,23,Mory DIAW,GK,96,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
83,Portugal,31.0,6.0,32,"[""6"", ""13"", ""1"", ""2""]",13.0,83.0,13.0,6.0,1.0,0.0,5.0,1.0,6.0,34,M083_portugal_01,1,DIOGO COSTA,GK,98,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
83,Croatia,53.0,4.0,33,"[""4"", ""27"", ""0"", ""6""]",15.0,33.0,15.0,1.0,0.0,0.0,1.0,3.0,11.0,35,M083_croatia_01,1,Dominik LIVAKOVIC,GK,98,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
84,Spain,44.0,9.0,33,"[""9"", ""33"", ""0"", ""4""]",5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,35,M084_spain_23,23,Unai SIMON,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
84,Austria,70.0,5.0,34,"[""5"", ""38"", ""1"", ""1""]",23.0,67.0,23.0,7.0,3.0,0.0,4.0,3.0,13.0,36,M084_austria_01,1,Alexander SCHLAGER,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
85,Switzerland,55.0,19.0,32,"[""19"", ""38"", ""0"", ""7""]",8.0,100.0,8.0,2.0,2.0,0.0,0.0,0.0,6.0,34,M085_switzerland_01,1,Gregor KOBEL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
85,Algeria,48.0,11.0,33,"[""11"", ""33"", ""0"", ""3""]",11.0,50.0,11.0,4.0,2.0,0.0,2.0,1.0,6.0,35,M085_algeria_23,23,Luca ZIDANE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
86,Argentina,50.0,6.0,33,"[""6"", ""27"", ""1"", ""5""]",16.0,60.0,16.0,3.0,1.0,0.0,2.0,1.0,12.0,35,M086_argentina_23,23,Emiliano MARTINEZ,GK,115,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
86,Cabo Verde,67.0,17.0,34,"[""17"", ""31"", ""2"", ""3""]",23.0,73.0,23.0,7.0,2.0,1.0,5.0,3.0,12.0,36,M086_caboverde_01,1,VOZINHA,GK,115,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
87,Colombia,49.0,4.0,33,"[""4"", ""32"", ""1"", ""5""]",8.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,35,M087_colombia_12,12,Camilo VARGAS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
87,Ghana,60.0,12.0,34,"[""12"", ""32"", ""4"", ""2""]",20.0,88.0,20.0,7.0,1.0,0.0,6.0,1.0,12.0,36,M087_ghana_01,1,Lawrence Ati ZIGI,GK,79,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
88,Australia,55.0,14.0,32,"[""14"", ""26"", ""2"", ""7""]",16.0,75.0,16.0,3.0,0.0,1.0,2.0,3.0,10.0,34,M088_australia_18,18,Patrick BEACH,GK,119,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
89,Paraguay,46.0,24.0,32,"[""24"", ""19"", ""4"", ""2""]",15.0,80.0,15.0,4.0,1.0,0.0,3.0,5.0,6.0,34,M089_paraguay_12,12,Orlando GILL,GK,97,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
89,France,45.0,7.0,33,"[""7"", ""26"", ""2"", ""6""]",5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,35,M089_france_16,16,Mike MAIGNAN,GK,97,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
90,Canada,30.0,10.0,32,"[""10"", ""23"", ""0"", ""2""]",5.0,25.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,34,M090_canada_16,16,Maxime CREPEAU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
90,Morocco,65.0,14.0,33,"[""14"", ""41"", ""0"", ""6""]",10.0,100.0,10.0,3.0,0.0,0.0,3.0,0.0,7.0,35,M090_morocco_01,1,Yassine BOUNOU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
91,Brazil,31.0,4.0,32,"[""4"", ""15"", ""1"", ""5""]",9.0,60.0,9.0,3.0,1.0,0.0,2.0,3.0,3.0,34,M091_brazil_01,1,ALISSON,GK,96,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
91,Norway,66.0,26.0,33,"[""26"", ""39"", ""2"", ""3""]",15.0,75.0,15.0,4.0,0.0,0.0,4.0,2.0,9.0,35,M091_norway_01,1,Orjan NYLAND,GK,96,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
92,Mexico,31.0,5.0,33,"[""5"", ""17"", ""0"", ""6""]",6.0,40.0,6.0,2.0,2.0,0.0,0.0,4.0,0.0,35,M092_mexico_01,1,Raul RANGEL,GK,98,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
92,England,69.0,23.0,34,"[""23"", ""31"", ""3"", ""5""]",20.0,60.0,20.0,3.0,1.0,0.0,2.0,4.0,13.0,36,M092_england_01,1,Jordan PICKFORD,GK,98,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
93,Portugal,58.0,10.0,32,"[""10"", ""27"", ""1"", ""6""]",15.0,83.0,15.0,5.0,2.0,0.0,3.0,2.0,8.0,34,M093_portugal_01,1,DIOGO COSTA,GK,98,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
93,Spain,55.0,18.0,33,"[""18"", ""31"", ""0"", ""9""]",10.0,100.0,10.0,3.0,2.0,0.0,1.0,3.0,4.0,35,M093_spain_23,23,Unai SIMON,GK,85,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
94,USA,43.0,7.0,32,"[""7"", ""18"", ""0"", ""7""]",15.0,43.0,15.0,3.0,2.0,0.0,1.0,2.0,10.0,34,M094_usa_24,24,Matt FREESE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
94,Belgium,50.0,19.0,33,"[""19"", ""37"", ""2"", ""1""]",7.0,50.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,35,M094_belgium_01,1,Thibaut COURTOIS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
95,Argentina,26.0,5.0,33,"[""5"", ""17"", ""2"", ""1""]",5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,35,M095_argentina_23,23,Emiliano MARTINEZ,GK,102,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
95,Egypt,57.0,11.0,34,"[""11"", ""28"", ""0"", ""3""]",19.0,57.0,19.0,6.0,1.0,0.0,5.0,3.0,10.0,36,M095_egypt_23,23,MOSTAFA SHOUBIR,GK,102,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
96,Switzerland,71.0,15.0,32,"[""15"", ""51"", ""0"", ""3""]",15.0,100.0,15.0,3.0,1.0,0.0,2.0,2.0,10.0,34,M096_switzerland_01,1,Gregor KOBEL,GK,119,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
96,Colombia,58.0,20.0,33,"[""20"", ""46"", ""2"", ""1""]",7.0,100.0,7.0,2.0,1.0,0.0,1.0,3.0,2.0,35,M096_colombia_12,12,Camilo VARGAS,GK,119,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
97,France,27.0,2.0,33,"[""2"", ""18"", ""0"", ""3""]",5.0,100.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,35,M097_france_16,16,Mike MAIGNAN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
97,Morocco,60.0,9.0,34,"[""9"", ""33"", ""1"", ""3""]",22.0,75.0,22.0,8.0,2.0,0.0,6.0,3.0,11.0,36,M097_morocco_01,1,Yassine BOUNOU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
98,Spain,50.0,9.0,32,"[""9"", ""33"", ""0"", ""7""]",5.0,50.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,34,M098_spain_23,23,Unai SIMON,GK,95,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
98,Belgium,66.0,23.0,33,"[""23"", ""41"", ""1"", ""4""]",17.0,75.0,17.0,6.0,1.0,0.0,5.0,4.0,7.0,35,M098_belgium_01,1,Thibaut COURTOIS,GK,95,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
100,Argentina,60.0,25.0,33,"[""25"", ""39"", ""4"", ""2""]",11.0,80.0,11.0,4.0,2.0,0.0,2.0,1.0,6.0,35,M100_argentina_23,23,Emiliano MARTINEZ,GK,115,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
100,Switzerland,67.0,19.0,34,"[""19"", ""33"", ""4"", ""3""]",22.0,57.0,22.0,4.0,1.0,0.0,3.0,5.0,13.0,36,M100_switzerland_01,1,Gregor KOBEL,GK,115,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
99,England,57.0,21.0,33,"[""21"", ""27"", ""1"", ""8""]",14.0,75.0,14.0,5.0,2.0,0.0,3.0,4.0,5.0,35,M099_england_01,1,Jordan PICKFORD,GK,89,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
99,Norway,63.0,23.0,32,"[""23"", ""40"", ""3"", ""2""]",15.0,71.0,15.0,4.0,1.0,2.0,3.0,4.0,5.0,34,M099_norway_01,1,Orjan NYLAND,GK,117,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
